código,clave,descripción
100778,BOT-1,"Bomba autocebante para uso con taladro, TRUPER"
100779,CLNE-18E,"Clavadora y engrapadora neumática profesional, calibre 18"
100785,JM-HO,Juego 7 piezas de martillos y entibadores para hojalatero
100787,BASE-50M,"Báscula electrónica para equipaje, de pilas, 50 kg, TRUPER"
100788,BASE-300C,"Báscula electrónica colgante, de pilas, 300 kg, TRUPER"
10079,CAT-15FF,"Carretilla 5 ft3 Imponchable, bastidor tubular, TRUPER"
100811,NL-TRI-150,"Tripié telescópico para nivel láser, altura max. 1.45 m"
100812,LEN-NL-V,"Lentes de seguridad para láser verde, TRUPER"
100815,KITB-5X,"Juego de 4 brocasierras bimetálicas y 1 mandril, EXPERT"
100816,KITB-3X,"Juego de 3 piezas para instalar cerraduras, TRUPER EXPERT"
100817,LLJ-140T,"Llave p/manguera, de latón, 140g, 1/2', granel, TRUPER"
100825,PROSO-1M,"Protección para soldar, peto de mezclilla, TRUPER"
100826,PROSO-2M,"Protección para soldar, mangas de mezclilla, TRUPER"
100827,PROSO-4M,"Protección para soldar, capucha de mezclilla, TRUPER"
100850,NM-6S,"Navaja auto-retráctil de seguridad 7', TRUPER"
100851,CT-608MR,"Carda copa 3' alambre trenzado fino, Multi-rosca, TRUPER"
100852,CT-610MR,"Carda copa 4' alambre trenzado fino, Multi-rosca, TRUPER"
100853,CT-612MR,"Carda copa 5' alambre trenzado fino, Multi-rosca, TRUPER"
100854,CT-608MRX,"Carda copa 3' alambre trenzado grueso, Multi-rosca, TRUPER"
100855,CT-610MRX,"Carda copa 4' alambre trenzado grueso, Multi-rosca, TRUPER"
100856,CT-612MRX,"Carda copa 5' alambre trenzado grueso, Multi-rosca, TRUPER"
100857,CO-508MR,"Carda copa 3' alambre ondulado fino, Multi-rosca, TRUPER"
100858,CO-510MR,"Carda copa 4' alambre ondulado fino, Multi-rosca, TRUPER"
100859,CO-512MR,"Carda copa 5' alambre ondulado fino, Multi-rosca, TRUPER"
100860,REF-BAS-01,"Charola para báscula mecánica, TRUPER"
100861,REF-BASC-01,"Charola para báscula mecánica colgante, TRUPER"
100868,RMAX-7NX,"Rotomartillo SDS Max 6kg, 7J, 1100W, TRUPER EXPERT"
100869,RMAX-15NX,"Rotomartillo SDS Max/destornillador 9 kg, 15J, 1500W, EXPERT"
100870,CO-512MRX,"Carda copa 5' alambre ondulado grueso, Multi-rosca, TRUPER"
100871,BASE-40T,"Báscula electrónica multifunciones con torreta 40 kg, TRUPER"
100873,D-1406-B,"Dado de 3/16', 12 puntas, cuadro 1/4', TRUPER"
100874,D-1407-B,"Dado de 7/32', 12 puntas, cuadro 1/4', TRUPER"
100876,D-1409-B,"Dado de 9/32', 12 puntas, cuadro 1/4', TRUPER"
100878,D-1410-B,"Dado de 5/16', 12 puntas, cuadro 1/4', TRUPER"
100879,D-1411-B,"Dado de 11/32', 12 puntas, cuadro 1/4', TRUPER"
100885,CAZ-60BX,"Cortador azulejo 25' (63cm) gran formato c/maletín, EXPERT"
100890,MADE-6NX,"Martillo demoledor SDS Max 6kg, 14J, 1200W, TRUPER EXPERT"
100891,MADE-10NX,"Martillo demoledor SDS Max 10kg, 25J, 1500W, TRUPER EXPERT"
100893,MADE-20NX,"Martillo demoledor HEX 20 kg, 55J, 1600W, TRUPER EXPERT"
100894,MADE-30NX,"Martillo demoledor HEX 30 kg, 62J, 2000W, TRUPER EXPERT"
100900,SOIN-101M,"Mini soldadora inversora 100A, 127V, TRUPER EXPERT"
100902,ESMA-45110,"Esmeriladora angular 4-1/2', 1100W, TRUPER PRO"
100903,CATA-36P,"Cama de plástico 36' para mecánico, TRUPER"
100904,CATA-40P,"Cama de plástico 40' para mecánico, TRUPER"
100905,D-7321-MLPD,"Dado largo impacto prot. plást. 21 mm, 6 puntas, cuadro 1/2'"
100906,AI-5254,"Adaptador de impacto 1/2' (H) x 3/8' (M), TRUPER"
100907,AI-5653,"Adaptador de impacto 1/2' (H) x 3/4' (M), TRUPER"
100911,TRA-PRO-S-X,"Conjunto impermeable triple capa, talla CH, TRUPER EXPERT"
100913,TRA-PRO-L-X,"Conjunto impermeable triple capa, talla G, TRUPER EXPERT"
100914,TRA-PRO-XL-X,"Conjunto impermeable triple capa, talla XG, TRUPER EXPERT"
100916,D-1418,"Dado de 9/16', 6 puntas, cuadro 1/4', TRUPER"
100917,D-1405-B,"Dado de 5/32', 12 puntas, cuadro 1/4', TRUPER"
100919,D-3808-HL,"Dado largo de 1/4', 6 puntas, cuadro 3/8', TRUPER"
100921,D-7322-ML,"Dado largo impacto de 22 mm, 6 puntas, cuadro 1/2', TRUPER"
100922,D-7323-ML,"Dado largo impacto de 23 mm, 6 puntas, cuadro 1/2', TRUPER"
100923,D-7324-ML,"Dado largo impacto de 24 mm, 6 puntas, cuadro 1/2', TRUPER"
100924,D-7325-ML,"Dado largo impacto de 25 mm, 6 puntas, cuadro 1/2', TRUPER"
100925,D-7326-ML,"Dado largo impacto de 26 mm, 6 puntas, cuadro 1/2', TRUPER"
100926,D-7327-ML,"Dado largo impacto de 27 mm, 6 puntas, cuadro 1/2', TRUPER"
100927,D-7324-HLPD,"Dado largo impacto prot. plást. 3/4', 6 puntas, cuadro 1/2'"
100928,D-7326-HLPD,"Dado largo impacto prot. plást. 13/16', 6 puntas,cuadro 1/2'"
100929,D-7328-HLPD,"Dado largo impacto prot. plást. 7/8', 6 puntas, cuadro 1/2'"
100930,D-7317-MLPD,"Dado largo impacto prot. plást. 17 mm, 6 puntas, cuadro 1/2'"
100931,D-7319-MLPD,"Dado largo impacto prot. plást. 19 mm, 6 puntas, cuadro 1/2'"
100933,ALL-8TMX,"Juego 8 llaves hexagonales mm extralargas mango T,punta bola"
100934,ALL-8TPX,"Juego 8 llaves hexagonales std extralarga mango T,punta bola"
100949,AI-5453,"Adaptador de Impacto 3/4' (H) x 1/2' (M), TRUPER"
100950,AI-5455,"Adaptador de Impacto 3/4' (H) x 1' (M), TRUPER"
100953,D-1414-BM,"Dado de 14 mm, 12 puntas, cuadro 1/4', TRUPER"
100954,ROU-A3,"Router (Rebajadora) 1200W, 1-3/4 HP, TRUPER PRO"
100955,BACA-LT ,Larguero de bastidor calibre 16 para carretillas TRUPER
100957,BACA-UX,"Nariz de bastidor calibre 16 para CAT-50X y 60X, EXPERT"
