código,clave,descripción
43946,PDV-81I,"Impresora de tickets 80mm, USB+BT+RJ45+WiFi, autocorte"
43947,VENT-56N,"Ventilador de techo para interior 56', negro, VOLTECK"
43963,CG-477,"Niple de acero galvanizado 1/4' cuerda corrida, FOSET"
43964,CG-507,"Codo 90° acero galvanizado de 1/4', FOSET"
43966,CG-225,"Reducción bushing acero galvanizado 3/8x1/4', FOSET"
43967,CG-226,"Reducción bushing acero galvanizado 1/2x1/4', FOSET"
43968,CG-227,"Reducción bushing acero galvanizado 1/2x3/8', FOSET"
43969,CG-228,"Reducción bushing acero galvanizado 2x1/2', FOSET"
43970,CG-229,"Reducción bushing acero galvanizado 2x3/4', FOSET"
43971,CG-230,"Reducción bushing acero galvanizado 2x1', FOSET"
43972,CG-283,"Reducción campana acero galvanizado 3/8x1/4', FOSET"
43973,CG-284,"Reducción campana acero galvanizado 1/2x1/4', FOSET"
43974,CG-285,"Reducción campana acero galvanizado 1/2x3/8', FOSET"
43975,CG-286,"Reducción campana acero galvanizado 1x1/2', FOSET"
43976,CG-287,"Reducción campana acero galvanizado 2x1/2', FOSET"
43977,CG-288,"Reducción campana acero galvanizado 2x3/4', FOSET"
43978,CG-289,"Reducción campana acero galvanizado 2x1-1/4', FOSET"
43979,CG-290,"Reducción campana acero galvanizado 2x1-1/2', FOSET"
43980,CG-807,"Tee sencilla acero galvanizado 1/4', FOSET"
43981,CG-449,"Niple de acero galvanizado 1/4' x 2', FOSET"
43982,CG-450,"Niple de acero galvanizado 1/4' x 3', FOSET"
43984,CG-452,"Niple de acero galvanizado 1/2' x 5', FOSET"
43995,CEMA-24R,"Cerradura manija 'Módena' p/recámara, níquel satinado,HERMEX"
43996,CEMA-24B,"Cerradura manija 'Módena' p/baño, níquel satinado, HERMEX"
43997,CEMA-14R,"Cerradura manija 'Siena' p/recámara, níquel satinado, HERMEX"
43998,CEMA-14B,"Cerradura manija 'Siena' p/baño, níquel satinado, HERMEX"
43999,CEMA-4R,"Cerradura manija 'Turín' p/recámara níquel satinado, HERMEX"
44000,ME-5B,"Ménsula de acero blanca 4 x 5', FIERO"
44001,ME-5G,"Ménsula de acero gris 4 x 5', FIERO"
44002,MUBA-10B,"Lavabo de porcelana con rebosadero, blanco, FOSET"
44003,ME-6B,"Ménsula de acero blanca 5 x 6', FIERO"
44004,ME-6G,"Ménsula de acero gris 5 x 6', FIERO"
44005,MUBA-20B,"Pedestal de porcelana para lavabo, blanco, FOSET"
44006,ME-8B,"Ménsula de acero blanca 6 x 8', FIERO"
44007,ME-8G,"Ménsula de acero gris 6 x 8', FIERO"
44008,MUBA-30B,"Tanque bajo de porcelana con accesorios, blanco, FOSET"
44009,ME-10B,"Ménsula de acero blanca 8 x 10', FIERO"
44010,ME-10G,"Ménsula de acero gris 8 x 10', FIERO"
44011,MUBA-40B,"Taza redonda de porcelana, blanco, FOSET"
44012,ME-12B,"Ménsula de acero blanca 10 x 12', FIERO"
44013,ME-12G,"Ménsula de acero gris 10 x 12', FIERO"
44014,ME-14B,"Ménsula de acero blanca 12 x 14', FIERO"
44015,ME-14G,"Ménsula de acero gris 12 x 14', FIERO"
44017,BCIN-1000C,"Bote con 1000 cinchos plásticos en colores surtidos, VOLTECK"
44018,CIN-20,"Bolsa con 200 cinchos plásticos negros y naturales, VOLTECK"
44019,CIN-20C,"Bolsa con 200 cinchos plásticos en colores surtidos, VOLTECK"
44026,TIR-003L,"Tira LED 16 W para interior y exterior, 5 m, azul, VOLTECK"
44028,TIR-005L,"Tira LED 16 W para interior y exterior, 5 m, verde, VOLTECK"
44034,CEMA-4B,"Cerradura manija 'Turín' p/baño níquel satinado, HERMEX"
44043,CEP-41JJ,"Doble jaladera, Lugo llave-mariposa, Níquel Satín, HERMEX"
44044,CEP-41PJ,"Jaladera/perilla, Lugo llave-mariposa, Níquel Satín, HERMEX"
44051,CEP-41PJC,"Jaladera/perilla/cerrojo, Porto llave-mariposa, Níquel Satín"
44052,CEPO-42E,"Cerradura tipo oval para entrada, níquel satín, HERMEX"
44057,CEPO-42R,"Cerradura tipo oval para recámara, níquel satín, HERMEX"
44058,CEPO-42B,"Cerradura tipo oval para baño, níquel satín, HERMEX"
44059,CEPO-41E,"Cerradura tipo esfera para entrada, níquel satín, HERMEX"
44064,CEPO-41R,"Cerradura tipo esfera para recámara, níquel satín, HERMEX"
44065,CEPO-41B,"Cerradura tipo esfera para baño, níquel satín, HERMEX"
44066,KUM-45,"Monomando corto para lavabo, cromo, FOSET KUBO"
44072,KUM-46,"Monomando alto para lavabo, cromo, FOSET KUBO"
44073,KUF-83,"Monomando cuello alto para fregadero, cromo, FOSET KUBO"
44074,KUF-82,"Monomando nariz retráctil para fregadero, cromo, FOSET KUBO"
44079,KUM-43,"Mezcladora para lavabo 4', cromo, FOSET KUBO"
44080,KUM-91,"Mezcladora para lavabo taladros separados, cromo, FOSET KUBO"
44081,KUM-71,"Monomando para regadera sin desviador, cromo, FOSET KUBO"
44088,KUR-51,"Salida de tina con desviador, cromo, FOSET KUBO"
44089,RIM-45M,"Monomando corto para lavabo, negro, FOSET RIVIERA"
44090,RIM-46M,"Monomando alto para lavabo, negro, FOSET RIVIERA"
44094,RIM-91M,"Mezcladora lavabo taladros separados, negro, FOSET RIVIERA"
44095,RIM-92M,"Monomando a pared para lavabo, negro, FOSET RIVIERA"
44096,RIM-81M,"Mezcladora cuello alto para fregadero, negro, FOSET RIVIERA"
44102,RIM-83M,"Monomando cuello alto para fregadero, negro, FOSET RIVIERA"
44103,RIM-84M,"Monomando nariz flexible para fregadero, negro,FOSET RIVIERA"
44104,RIM-82M,"Monomando retráctil para fregadero, negro, FOSET RIVIERA"
44110,RIM-52M,"Mezcladora para tina romana, negro, FOSET RIVIERA"
44111,RIM-51M,"Salida de tina sin desviador, negro, FOSET RIVIERA"
44112,RIM-72M,"Monomando para regadera con desviador, negro, FOSET RIVIERA"
44117,RIM-71M,"Monomando para regadera sin desviador, negro, FOSET RIVIERA"
44118,RIM-61M,"Juego manerales palanca para regadera, negro, FOSET RIVIERA"
44119,RIMM-01M,"Juego manerales palanca para RIM-91M, negro, FOSET RIVIERA"
44123,CLC-2G,Bolsa con 1 kg de clavos para concreto galvanizados 2'
44125,CLC-3G,Bolsa con 1 kg de clavos para concreto galvanizados 3'
44127,RIMM-02M,"Juego manerales palanca para RIM-52M, negro, FOSET RIVIERA"
44128,RIMM-03M,"Maneral palanca para monomando, negro, FOSET RIVIERA"
44133,CLC-2N,"Bolsa con 1 kg de clavos para concreto negros 2', FIERO"
44135,CLC-3N,"Bolsa con 1 kg de clavos para concreto negros 3', FIERO"
44137,CLC-4G,Bolsa con 1 kg de clavos para concreto galvanizados 4'
44138,CLC-4N,"Bolsa con 1 kg de clavos para concreto negros 4', FIERO"
44177,FLV-095P,"Juego de mangueras para lavadora, vinilo, c/codo 90, BASIC"
44187,FILA-P3,"Filtro para agua, lavable, tecnología de discos, FOSET"
44202,KUM-45N,"Monomando corto para lavabo, satín, FOSET KUBO"
44203,KUM-45M,"Monomando corto para lavabo, negro, FOSET KUBO"
44204,KUM-46N,"Monomando alto para lavabo, satín, FOSET KUBO"
44210,KUM-46M,"Monomando alto para lavabo, negro, FOSET KUBO"
44215,KUF-83N,"Monomando cuello alto para fregadero, satín, FOSET KUBO"
44216,KUF-83M,"Monomando cuello alto para fregadero, negro, FOSET KUBO"
44222,KUF-82N,"Monomando nariz retráctil para fregadero, satín, FOSET KUBO"
44227,KUF-82M,"Monomando nariz retráctil para fregadero, negro, FOSET KUBO"
44228,KUM-43N,"Mezcladora para lavabo 4', satín, FOSET KUBO"
44229,KUM-43M,"Mezcladora para lavabo 4', negro, FOSET KUBO"
44231,AB-06,"Bolsa con 10 abrazaderas mini, sin fin #6, 1/2 - 3/4', FIERO"
44255,AB-03,"Bolsa con 10 abrazaderas mini sin fin #3, 1/4 - 5/8', FIERO"
44258,KUM-91N,"Mezcladora para lavabo taladros separados, satín, FOSET KUBO"
44259,KUM-91M,"Mezcladora para lavabo taladros separados, negro, FOSET KUBO"
44266,KUM-71N,"Monomando para regadera sin desviador, satín, FOSET KUBO"
44267,KUM-71M,"Monomando para regadera sin desviador, negro, FOSET KUBO"
44268,KUR-51N,"Salida de tina con desviador, satín, FOSET KUBO"
44275,KUR-51M,"Salida de tina con desviador, negro, FOSET KUBO"
44277,RIA-7000M,"Juego de 6 accesorios para baño, negro, FOSET RIVIERA"
44278,RIA-75M,"Dispensador de jabón a pared, negro, FOSET RIVIERA"
44279,RIA-74M,"Jabonera con plato de vidrio, negro, FOSET RIVIERA"
44287,RIA-71M,"Portavaso cepillero con vaso de vidrio, negro, FOSET RIVIERA"
44288,RIA-78M,"Repisa portatoallas, negro, FOSET RIVIERA"
44289,CACA-20,"Collar de entrenamiento para perro, 45 cm, eslabón 2 mm"
44290,CACA-25,"Collar de entrenamiento para perro, 45 cm, eslabón 2.5 mm"
44292,CACA-35,"Collar de entrenamiento para perro, 55 cm, eslabón 3.5 mm"
44294,COPE-10,"Correa con pechera para perro, 1 cm ancho, FIERO"
44295,COPE-15,"Correa con pechera para perro, 1.5 cm ancho, FIERO"
44296,RIA-76M,"Toallero de barra largo, negro, FOSET RIVIERA"
44297,RIA-77M,"Toallero argolla, negro, FOSET RIVIERA"
44301,CIN-1815,"Bolsa con 100 cinchos plásticos 18 lb, 150 x 2.5 mm, natural"
44302,CIN-1820,"Bolsa con 100 cinchos plásticos 18 lb, 200 x 2.5 mm, natural"
44303,CIN-4015,"Bolsa con 50 cinchos plásticos 40 lb, 150 x 3.5 mm, natural"
44304,CIN-4020,"Bolsa con 50 cinchos plásticos 40 lb, 200 x 3.5 mm, natural"
44305,CIN-4025,"Bolsa con 50 cinchos plásticos 40 lb, 250 x 3.5 mm, natural"
44309,CIN-5035,"Bolsa con 25 cinchos plásticos 50 lb, 350 x 4.5 mm, natural"
44310,CIN-5040,"Bolsa con 25 cinchos plásticos 50 lb, 400 x 4.5 mm, natural"
44311,CIN-5050,"Bolsa con 25 cinchos plásticos 50 lb, 500 x 4.5 mm, natural"
44317,RIA-73M,"Gancho sencillo para toallas, negro, FOSET RIVIERA"
44318,RIA-72M,"Portarrollo sin cubierta, negro, FOSET RIVIERA"
44319,KUA-7000,"Juego de 6 accesorios para baño, cromo, FOSET KUBO"
44321,CIN-1815N,"Bolsa con 100 cinchos plásticos 18 lb, 150 x 2.5 mm, negro"
44322,CIN-1820N,"Bolsa con 100 cinchos plásticos 18 lb, 200 x 2.5 mm, negro"
44323,CIN-4015N,"Bolsa con 50 cinchos plásticos 40 lb, 150 x 3.5 mm, negro"
44324,CIN-4020N,"Bolsa con 50 cinchos plásticos 40 lb, 200 x 3.5 mm, negro"
44325,CIN-4025N,"Bolsa con 50 cinchos plásticos 40 lb, 250 x 3.5 mm, negro"
44329,CIN-5035N,"Bolsa con 25 cinchos plásticos 50 lb, 350 x 4.5 mm, negro"
44330,CIN-5040N,"Bolsa con 25 cinchos plásticos 50 lb, 400 x 4.5 mm, negro"
44331,CIN-5050N,"Bolsa con 25 cinchos plásticos 50 lb, 500 x 4.5 mm, negro"
44332,KUA-7000M,"Juego de 6 accesorios para baño, negro, FOSET KUBO"
44333,KUA-7000N,"Juego de 6 accesorios para baño, satín, FOSET KUBO"
44334,KUA-73,"Gancho sencillo para toallas, cromo, FOSET KUBO"
44335,PIJ-613,"Bolsa con 100 pijas #6 x 1/2' multiusos, FIERO"
44336,PIJ-619,"Bolsa con 100 pijas #6 x 3/4' multiusos, FIERO"
44337,PIJ-625,"Bolsa con 100 pijas #6 x 1' multiusos, FIERO"
44340,PIJ-644,"Bolsa con 100 pijas #6 x 1-3/4' multiusos, FIERO"
44341,PIJ-650,"Bolsa con 100 pijas #6 x 2' multiusos, FIERO"
44342,PIJ-819,"Bolsa con 100 pijas #8 x 3/4' multiusos, FIERO"
44343,PIJ-825,"Bolsa con 100 pijas #8 x 1' multiusos, FIERO"
44346,PIJ-844,"Bolsa con 100 pijas #8 x 1-3/4' multiusos, FIERO"
44347,PIJ-850,"Bolsa con 100 pijas #8 x 2' multiusos, FIERO"
44348,PIJ-1025,"Bolsa con 100 pijas #10 x 1' multiusos, FIERO"
44350,PIJ-1050,"Bolsa con 100 pijas #10 x 2' multiusos, FIERO"
44352,PIJ-1075,"Bolsa con 100 pijas #10 x 3' multiusos, FIERO"
44353,R1-CALE-S,"Válvula de drenado para calentador solar, 3/4', FOSET"
44354,R2-CALE-S,"Ánodo de magnesio para calentador solar, 3/4', FOSET"
44355,R5-CALE-S,"Empaque guardapolvo para calentador solar, 58mm, FOSET"
44356,R7-CALE-S,"Empaque de silicón para calentador solar, 58 mm, FOSET"
44357,R8-CALE-S,"Cono base para tubo de calentador solar, 58 mm, FOSET"
44358,KUA-73M,"Gancho sencillo para toallas, negro, FOSET KUBO"
44359,KUA-73N,"Gancho sencillo para toallas, satín, FOSET KUBO"
44365,KUA-76,"Toallero de barra largo, cromo, FOSET KUBO"
44366,KUA-76M,"Toallero de barra largo, negro, FOSET KUBO"
44367,KUA-76N,"Toallero de barra largo, satín, FOSET KUBO"
44368,KUA-77,"Toallero de argolla, cromo, FOSET KUBO"
44369,KUA-77M,"Toallero de argolla, negro, FOSET KUBO"
44370,AR-17C,"Bolsa con 144 armellas cerradas de 17 x 40, FIERO"
44371,AR-18C,"Bolsa con 144 armellas cerradas de 18 x 50, FIERO"
44372,AR-19C,"Bolsa con 144 armellas cerradas de 19 x 60, FIERO"
44373,AR-20C,"Bolsa con 144 armellas cerradas de 20 x 70, FIERO"
44374,AR-21C,"Bolsa con 144 armellas cerradas de 21 x 80, FIERO"
44375,AR-22C,"Bolsa con 72 armellas cerradas de 22 x 100, FIERO"
44376,AR-23C,"Bolsa con 72 armellas cerradas de 23 x 110, FIERO"
44377,AR-17A,"Bolsa con 144 armellas abiertas de 17 x 40, FIERO"
44378,AR-18A,"Bolsa con 144 armellas abiertas de 18 x 50, FIERO"
44379,AR-19A,"Bolsa con 144 armellas abiertas de 19 x 60, FIERO"
44380,AR-20A,"Bolsa con 144 armellas abiertas de 20 x 70, FIERO"
44381,AR-21A,"Bolsa con 144 armellas abiertas de 21 x 80, FIERO"
44382,AR-22A,"Bolsa con 72 armellas abiertas de 22 x 100, FIERO"
44383,AR-23A,"Bolsa con 72 armellas abiertas de 23 x 110, FIERO"
44386,KUA-77N,"Toallero de argolla, satín, FOSET KUBO"
44387,KUA-72,"Portarrollo sin cubierta, cromo, FOSET KUBO"
44390,RO-40P,"Rodaja esférica, 40 mm con placa, FIERO"
44391,RO-50P,"Rodaja esférica, 50 mm con placa, FIERO"
44392,KUA-72M,"Portarrollo sin cubierta, negro, FOSET KUBO"
44393,KUA-72N,"Portarrollo sin cubierta, satín, FOSET KUBO"
44394,KUA-74,"Jabonera con plato de vidrio, cromo, FOSET KUBO"
44395,RO-40E,"Rodaja esférica, 40 mm con espiga, FIERO"
44396,RO-50E,"Rodaja esférica, 50 mm con espiga, FIERO"
44397,KUA-74M,"Jabonera con plato de vidrio, negro, FOSET KUBO"
44398,KUA-74N,"Jabonera con plato de vidrio, satín, FOSET KUBO"
44399,KUA-71,"Portavaso cepillero con vaso de vidrio, cromo, FOSET KUBO"
44406,PIBR-1R,"100 pijas #14 x 1' hexagonal, punta broca con rondana"
44409,PIBR-2R,"50 pijas #14 x 2' hexagonal, punta broca con rondana"
44410,KUA-71M,"Portavaso cepillero con vaso de vidrio, negro, FOSET KUBO"
44415,PILA-8X1,"Bolsa con 200 pijas para lámina, #8 x 1', FIERO"
44418,PILA-8X2,"Bolsa con 200 pijas para lámina, #8 x 2', FIERO"
44423,PILA-10X1,"Bolsa con 150 pijas para lámina, #10 x 1', FIERO"
44426,PILA-10X2,"Bolsa con 150 pijas para lámina, #10 x 2', FIERO"
44428,PILA-12X1,"Bolsa con 100 pijas para lámina, #12 x 1', FIERO"
44431,PILA-12X2,"Bolsa con 100 pijas para lámina, #12 x 2', FIERO"
44433,PILA-14X1,"Bolsa con 100 pijas para lámina, #14 x 1', FIERO"
44436,PILA-14X2,"Bolsa con 100 pijas para lámina, #14 x 2', FIERO"
44437,KUA-71N,"Portavaso cepillero con vaso de vidrio, satín, FOSET KUBO"
44445,CV-230,"Reducción de PPR 2' x 3/4', FOSET"
44446,CV-231,"Reducción de PPR 2' x 1', FOSET"
44450,ME-5N,"Ménsula de acero negra 4 x 5', FIERO"
44451,ME-6N,"Ménsula de acero negra 5' x 6', FIERO"
44452,ME-8N,"Ménsula de acero negra 6 x 8', FIERO"
44453,ME-10N,"Ménsula de acero negra 8' x 10', FIERO"
44454,ME-12N,"Ménsula de acero negra 10 x 12', FIERO"
44455,ME-14N,"Ménsula de acero negra 12 x 14', FIERO"
44456,R-013M,"Regadera de teléfono con soporte, negro, FOSET RIVIERA"
44465,ALG-125,"Kilo de alambre galvanizado, calibre 12.5, FIERO"
44466,ALG-145,"Kilo de alambre galvanizado, calibre 14.5, FIERO"
44467,ALG-160,"Kilo de alambre galvanizado, calibre 16, FIERO"
44468,ALG-180,"Kilo de alambre galvanizado, calibre 18, FIERO"
44469,ALG-200,"Kilo de alambre galvanizado, calibre 20, FIERO"
44470,ALG-220,"Kilo de alambre galvanizado, calibre 22, FIERO"
44474,AO-1GA,Bolsa c/10 abrazaderas tipo omega 1' p/tubo pared gruesa
44480,AQF-86,"Mezcladora fregadero 8' cromo, hexagonal, AQUA"
44481,AQCR-86,"Cuello estándar para mezcladora de fregadero, cromo, AQUA"
44493,R-504S,"Regadera redonda 3-1/2', metálica, sin brazo, cromo, AQUA"
44494,R-501S,"Regadera redonda 2', metálica, sin brazo, cromo, AQUA"
44506,BCH-600,"Brazo recto con chapetón para regadera, 30 cm, cromo, FOSET"
44507,BCH-610,"Brazo y chapetón recto de repuesto para regadera, FOSET AQUA"
44508,BCH-720,"Brazo tipo gancho y chapetón para regadera, 50 cm, AERO"
44509,BCH-720N,"Brazo y chapetón tipo gancho para regadera, 50 cm, satinado"
44510,BCH-600B,"Brazo y chapetón de repuesto para regadera, blíster, AQUA"
44516,AO-2GA,Bolsa c/5 abrazaderas tipo omega 2' p/tubo pared gruesa
44517,AO-3GA,Bolsa c/5 abrazaderas tipo omega 3' p/tubo pared gruesa
44538,R-68LF-B,"Bolsa con 50 remaches 3/16' x 1/2' de aluminio, ala 17/32'"
44539,AO-4GA,Bolsa c/5 abrazaderas tipo omega 4' p/tubo pared gruesa
44647,PIBR-1C,"100 pijas #8 x 1' cabeza cruz, punta de broca, FIERO"
44650,PIBR-2C,"100 pijas #8 x 2' cabeza cruz, punta de broca, FIERO"
44655,MAHE-1309,"Rollo malla hexagonal cal.23, 0.90x 45m, abertura 13mm, 16kg"
44656,MAHE-2510,"Rollo malla hexagonal cal.22, 1x 45m, abertura 25mm, 13kg"
44657,MAHE-2512,"Rollo malla hexagonal cal.22, 1.2x 45m, abertura 25mm, 16kg"
44658,MAHE-2515,"Rollo malla hexagonal cal.22, 1.5x 45m, abertura 25mm, 20kg"
44659,MAHE-2517,"Rollo malla hexagonal cal.22, 1.75x 45m, abertura 25mm, 23kg"
44660,MAHE-3815,"Rollo malla hexagonal cal.20, 1.5x 45m, abertura 38mm, 19kg"
44661,MAHE-3817,"Rollo malla hexagonal cal.20, 1.75x 45m, abertura 38mm, 21kg"
44662,MAHE-5015,"Rollo malla hexagonal cal.20, 1.5x 45m, abertura 50mm, 15kg"
44670,MER-12B,"Ménsula reforzada de acero, blanca, 8 x 12', FIERO"
44671,MER-16B,"Ménsula reforzada de acero, blanca, 10 x 16', FIERO"
44672,MER-20B,"Ménsula reforzada de acero, blanca, 13 x 20', FIERO"
44673,MER-12G,"Ménsula reforzada de acero, gris, 8 x 12', FIERO"
44674,MER-16G,"Ménsula reforzada de acero, gris, 10 x 16', FIERO"
44675,MER-20G,"Ménsula reforzada de acero, gris, 13 x 20', FIERO"
44676,MER-12N,"Ménsula reforzada de acero, negra, 8 x 12', FIERO"
44677,MER-16N,"Ménsula reforzada de acero, negra, 10 x 16', FIERO"
44678,MER-20N,"Ménsula reforzada de acero, negra, 13 x 20', FIERO"
44708,TOSO-803,"Toldo sombra 80%, monofilamento negro, 3.6m x 3m, FIERO"
44709,TOSO-805,"Toldo sombra 80%, monofilamento negro, 3.6m x 5m, FIERO"
44807,AU-1GA,Bolsa c/10 abrazaderas tipo uña 1' p/tubo pared gruesa
44810,AU-2GA,Bolsa c/5 abrazaderas tipo uña 2' p/tubo pared gruesa
44811,AU-3GA,Bolsa c/5 abrazaderas tipo uña 3' p/tubo pared gruesa
44812,AU-4GA,Bolsa c/5 abrazaderas tipo uña 4' p/tubo pared gruesa
44821,R-312M,"Regadera plato cuadrado 12' con brazo, negro, FOSET RIVIERA"
44822,R-313M,"Regadera plato redondo 12' con brazo, negro, FOSET RIVIERA"
44823,R-310M,"Regadera plato cuadrado 10' con brazo, negro, FOSET RIVIERA"
44825,R-311M,"Regadera plato redondo 10' con brazo, negro, FOSET RIVIERA"
44826,R-308M,"Regadera plato cuadrado 8' con brazo, negro, FOSET RIVIERA"
44827,R-309M,"Regadera plato redondo 8' con brazo, negro, FOSET RIVIERA"
44842,PPG-3812CH,"Codo oreja 90° para PEALPE, 3/8x1/2',con rosca hembra, FOSET"
44851,PPG-3838NM,"Conector para PEALPE, 3/8x3/8', con rosca macho, FOSET"
44852,PPG-1238NM,"Conector para PEALPE, 1/2x3/8', con rosca macho, FOSET"
44853,PPG-3812TH,"Tee para PEALPE,3/8x1/2x3/8',con rosca hembra central, FOSET"
44854,PPG-3812TM,"Tee macho para PEALPE, 3/8x1/2x3/8', FOSET"
44879,PPG-12TM,"Tee macho para PEALPE, 1/2', FOSET"
44880,FLV-030Y,"Manguera para lavadora, vinilo, tipo Y de 30cm, FOSET"
44881,FLV-120N,"Manguera para lavadora, vinilo, c/codo 90, FOSET"
44882,AEM-40,"Monomando corto lavabo, cromo, FOSET AERO"
44883,AEM-46,"Monomando alto lavabo, cromo, FOSET AERO"
44889,AEM-48,"Mezcladora lavabo 4' cromo, cuello alto, palanca, FOSET AERO"
44891,PIQU-8X1,Bolsa con 200 pijas #8 x 1' combinadas (cuadro + Phillips)
44895,PIQU-8X2,Bolsa con 200 pijas #8 x 2' combinadas (cuadro + Phillips)
44897,PIQU-8X3,Bolsa con 200 pijas #8 x 3' combinadas (cuadro + Phillips)
44898,AEM-49,"Mezcladora lavabo 4' cromo, tipo bar, palanca, FOSET AERO"
44899,AEM-92,"Mezcladora lavabo taladros separados, cromo, FOSET AERO"
44900,CLV-17N,"Caja con 500 clavillos niquelados de 17 mm, FIERO"
44901,CLV-17D,"Caja con 500 clavillos dorados de 17 mm, FIERO"
44902,AEF-84,"Mezcladora fregadero 8' cromo, c. largo, palanca, FOSET AERO"
44903,AEF-86,"Monomando nariz retráctil para fregadero, cromo, FOSET AERO"
44904,AEF-85,"Monomando fregadero cromo, semi profesional, FOSET AERO"
44905,AEMR-62,"Juego 2 manerales palanca para regadera, cromo, FOSET AERO"
44906,AEM-72,"Monomando para regadera, cromo, FOSET AERO"
44907,TECA-1M,"Tensor de cadena con matraca, 1/4' - 5/16', FIERO"
44908,TECA-2M,"Tensor de cadena con matraca, 5/16' - 3/8', FIERO"
44909,TECA-4M,"Tensor de cadena con matraca, 3/8' - 1/2', FIERO"
44913,TECA-6M,"Tensor de cadena con matraca, 1/2' - 5/8', FIERO"
44920,PUCO-A45,"Rollo concertina alta seguridad, 45cm diámetro x 8m, FIERO"
44921,PUCO-M45,"Rollo concertina máxima seguridad, 45cm diámetro x 8m, FIERO"
44924,PPVCV-50,"Cemento para PVC, gris, máxima viscosidad, tubo 50ml, FOSET"
44925,PPVCV-90,"Cemento para PVC, gris, máxima viscosidad, lata 90ml, FOSET"
44926,PPVCV-145,"Cemento para PVC, gris, máxima viscosidad, lata 145ml, FOSET"
44927,PPVCV-250,"Cemento para PVC, gris, máxima viscosidad, lata 250ml, FOSET"
44928,PPVCV-500,"Cemento para PVC, gris, máxima viscosidad, lata 500ml, FOSET"
44980,MAPLA-5090,"Rollo malla plafón 0.90 x 22m cal.26, abertura 10x25mm, 8kg"
44998,CEP-11PJC,"Jaladera/perilla/cerrojo,Porto llave-mariposa,LatónBrillante"
44999,CEP-31PJC,"Jaladera/perilla/cerrojo, Porto llave-mariposa, Cromo"
45005,CCH-2X4P,"Caja tipo chalupa 2' x 4' plástica, VOLTECK"
45006,CCH-2X4E,"Caja tipo chalupa 2' x 4' económica, VOLTECK"
45011,MGA-20,"Manguera para gas, PVC amarilla, 3/8' flare, 2 m, FOSET"
45013,MGA-40,"Manguera para gas, PVC amarilla, 3/8'flare, 4 m, FOSET"
45014,MGA-50,"Manguera para gas, PVC amarilla, 3/8' flare,5 m, FOSET"
45015,MGA-500,"Manguera para gas, PVC amarilla, 3/8' s/conexión, 50 m,FOSET"
45027,PCY-UR,"Pala cuadrada, puño 'Y', mango de madera, Urreola, TRUPER"
45035,RD-102,"Rueda de hule sólido 10' para diablo, doble balero, PRETUL"
45041,CAN-1720A,"Canaleta de 1 vía 17 x 20 mm, con adhesivo, VOLTECK"
45054,PURA-P3,"Purificador de agua, bajo tarja, FOSET"
45058,R-502,"Regadera redonda 3', metálica, brazo y chapetón, cromo, AQUA"
45059,R-502S,"Regadera redonda 3', metálica, sin brazo, cromo, AQUA"
45060,TA-1202TI,"Tarja de empotrar 120 x 50 cm doble tina izquierda, FOSET"
45061,TA-1202TD,"Tarja de empotrar 120 x 50 cm doble tina derecha, FOSET"
45075,R-309,"Regadera plato redondo 8' con brazo, cromo, FOSET RIVIERA"
45076,R-309N,"Regadera plato redondo 8' con brazo, satín, FOSET RIVIERA"
45077,R-311,"Regadera plato redondo 10' con brazo, cromo, FOSET RIVIERA"
45078,R-311N,"Regadera plato redondo 10' con brazo, satín, FOSET RIVIERA"
45079,R-313,"Regadera plato redondo 12' con brazo, cromo, FOSET RIVIERA"
45080,R-313N,"Regadera plato redondo 12' con brazo, satín, FOSET RIVIERA"
45089,RO-4PPG,"Rodaja de repuesto 4' para DIA-385P, placa giratoria, FIERO"
45090,AR-02,"Barra mural con codo, cromo, FOSET RIVIERA"
45091,AR-02N,"Barra mural con codo, satín, FOSET RIVIERA"
45092,ARB-105S,"Arbotante tipo farol moderno soportado p/exteriores, negro"
45093,ARB-107S,"Arbotante tipo farol moderno suspendido p/exteriores, negro"
45094,COL-103S,"Arbotante tipo farol moderno colgante para exteriores, negro"
45095,AR-07,"Manguera plástica de 1.5 m para regadera, FOSET AQUA"
45096,AR-08,"Manguera lisa para regadera, manual, cromada, FOSET RIVIERA"
45097,AR-08N,"Manguera lisa para regadera teléfono, satín, ELEMENT"
45110,MAST-280,"Mástil de 2.8 m para antena aérea, VOLTECK"
45111,MAST-140,"Mástil de 1.4 m para antena aérea, VOLTECK"
45113,CARMO-25,"Cartucho cerámico monomando para lavabo AEM-45, FOSET"
45114,AEMM-07,"Maneral palanca para monomando lavabo AEM-45, cromo, AERO"
45154,REGEL-4G,"Regadera eléctrica, 4 temperaturas, 14.5cm, gris, FOSET"
45155,REGEL-4A,"Regadera eléctrica, 4 temperaturas, 14.5cm, azul, FOSET"
45164,AQA-78,"Portarrollo sin cubierta, cromo, FOSET AQUA"
45165,R-012,"Regadera cromo de teléfono 4' con soporte, FOSET ELEMENT"
45166,R-012N,"Regadera satín de teléfono 4' con soporte, FOSET ELEMENT"
45169,R-202S,"Regadera cromo 4'con 5 funciones, sin brazo, FOSET ELEMENT"
45170,R-202SN,"Regadera satín 4'con 5 funciones, sin brazo, FOSET ELEMENT"
45171,CV-TER,"Termofusora de 600 W para PPR, FOSET"
45172,CV-D1,"Dado para termofusora de 1/2' (20 mm), FOSET"
